name,id,principal,agent,date formed,status,type,street,city,state,zip
"LAW DOGS LAW ENFORCEMENT MOTORCYCLE CLUB, INC.",567749,"CHRISTOPHER RUBINO, JAY COSTANZO, KEVIN SHEPARD",STEVE SCATENA,07/25/1997,Dissolved,Domestic Non-Stock Corporation,388 TATER HILL RD,EAST HADDAM,CT,6423
"LAW ELECTRIC, LLC",780212,LAWRENCE A. WELLS,LAWRENCE A. WELLS,04/01/2004,Active,Domestic Limited Liability Company,330 HARVEST RIDGE ROAD,STRATFORD,CT,6614
"LAW ENFORCEMENT ASSOCIATION FOR WOMEN, INC.",96411,,DEBORAH MILLER,09/17/1979,Forfeited,Domestic Non-Stock Corporation,"DEBORAH MILLER, 8 CLARMORE DR",NORWALK,CT,6851
"LAW ENFORCEMENT CAREER DEVELOPMENT ASSOCIATES, INC.",256236,,STEVEN AMANN,12/12/1990,Forfeited,Domestic Stock Corporation,"STEVEN AMANN, 148 WALL ST.",MERIDEN,CT,6450
"LAW ENFORCEMENT EDUCATION SERVICES, INC.",165961,"PATRICK J. CLIFFORD, SUSAN CLIFFORD",ARNOLD MARKLE,02/14/1985,Dissolved,Domestic Stock Corporation,78 ACORN RD.,MADISON,CT,
"LAW ENFORCEMENT ENTRY-LEVEL PREPARATION, LEEP, LLC",579007,KEITH A. PRICE,KEITH A. PRICE,12/22/1997,Dissolved,Domestic Limited Liability Company,15 BERRIOS HILL RD.,WINDSOR,CT,6095
"LAW ENFORCEMENT INSURANCE ASSOCIATION, INC.",564965,"ANDREW GRIMALDA, MARC GRIMALDA",ANDREW M. GRIMALDA,06/16/1997,Active,Domestic Non-Stock Corporation,3 BIG SHOP LANE,RIDGEFIELD,CT,6877
"LAW ENFORCEMENT INSURANCE SERVICES, LLC",565960,,ANDREW GRIMALDA,06/30/1997,Active,Domestic Limited Liability Company,2 NORTH FORTY DR.,NEW FAIRFIELD,CT,6812
"LAW ENFORCEMENT RESEARCH GROUP, LLC",1025223,DAVID A. CRUICKSHANK,DAVID A. CRUICKSHANK,01/05/2011,Dissolved,Domestic Limited Liability Company,321 ROXBURY ROAD,NEW BRITAIN,CT,6053
"LAW ENFORCEMENT RISK MANAGEMENT, LLC",1083666,"ERIC DAIGLE, ROBERT LLOYD",ERIC DAIGLE,09/17/2012,Active,Domestic Limited Liability Company,244 PATTONWOOD DRIVE,SOUTHINGTON,CT,6489
"LAW ENFORCEMENT SUPPLY SYSTEMS, LLC",785155,JACQUELYN CECCHINI,JACQUELYN CECCHINI,05/18/2004,Dissolved,Domestic Limited Liability Company,49 BEELZEBUB ROAD,SOUTH WINDSOR,CT,6074
"LAW ENFORCEMENT SYSTEMS DEVELOPMENT, L.L.C.",523812,,STEVEN WEISHER,10/16/1995,Dissolved,Domestic Limited Liability Company,123 BAHRE CORNER ROAD,CANTON,CT,6109
"LAW ENFORCEMENT SYSTEMS, LLC",1061536,"DUNCAN SOLUTIONS, INC.",CORPORATION SERVICE COMPANY,02/07/2012,Active,Foreign Limited Liability Company,"633 W. WISCONSIN AVENUE, SUITE 1600",MILWAUKEE,WI,53203
"LAW ENGINEERING, INC.",227196,,PRENTICE-HALL CORPORATION SYSTEM,01/06/1989,Revoked,Foreign Stock Corporation,"1000 ABERNATHY ROAD, N.E",ATLANTA,GA,30328
"LAW ENGINEERING, INC.",280621,,PRENTICE-HALL CORPORATION SYS INC,12/04/1992,Forfeited,Foreign Stock Corporation,1000 ABERNATHY ROAD,ATLANTA,GA,30388
"LAW ENVIRONMENTAL, INC.",205737,"J. LEONARD LEDBETTER, KARL J. DUFF",PRENTICE-HALL CORPORATION SYSTEM,09/10/1987,Forfeited,Foreign Stock Corporation,"114 TOWN PARK DR., STE. 500",KENNESAW,GA,30144
"LAWES, INC.",298367,"JENNIFER L. LAWES, MARVIN R. LAWES",MARVIN R. LAWES,05/06/1994,Dissolved,Domestic Stock Corporation,42 BROOKVIEW AVENUE,WALLINGFORD,CT,6492
"LAWES INTERNATIONAL GROUP, LLC",1152476,STACY A. LAWES,STACY-ANN A. LAWES,08/18/2014,Active,Domestic Limited Liability Company,786 TOWER AVE,HARTFORD,CT,6112
"LAW FIRM OF BRYAN V. DOTO, LLC",1043808,BRYAN V. DOTO,BRYAN V. DOTO,07/20/2011,Active,Domestic Limited Liability Company,131 DEER HILL AVE.,DANBURY,CT,6810
"LAW FIRM OF GARY J. WILSON, LLC",706573,GARY J. WILSON,GARY J. WILSON,02/25/2002,Dissolved,Domestic Limited Liability Company,"4 DANIELS FARM ROAD, PMB 168",TRUMBULL,CT,6611
"LAW FIRM OF KEITH ABRAMSON, A PROFESSIONAL CORPORATION",174480,,KEITH V. ABRAMSON ESQ,09/24/1985,Forfeited,Domestic Stock Corporation,"KEITH V. ABRAMSON, 25 SYLVAN RD S.",WESTPORT,CT,6880
"LAW FIRM OF LINDA E. DESTEFANO, LLC",1247684,LINDA E. DESTEFANO,LINDA E. DESTEFANO,08/18/2017,Dissolved,Domestic Limited Liability Company,36 FEDERAL ROAD,DANBURY,CT,6810
"LAW FIRM OF MCGETRICK & ASSOCIATES, LLC",1167612,MICHAEL S. MCGETRICK,MICHAEL S. MCGETRICK,02/06/2015,Active,Domestic Limited Liability Company,153 WHITE STREET,DANBURY,CT,6810
"LAW FIRM OF MICHAEL A. LOCKABY, LLC",833741,MICHAEL A. LOCKABY,MICHAEL A. LOCKABY,09/13/2005,Active,Domestic Limited Liability Company,136 DOWD AVENUE,CANTON,CT,6019
LAW FIRM OF N.S. MOLBERGER LLC,708153,NEIL S. MOLBERGER,N.S. MOLBERGER,03/12/2002,Active,Domestic Limited Liability Company,"44 AMOGERONE CROSSWAY, #494",GREENWICH,CT,6836
"LAW FIRM OF ROLAND T. BRYAN, P.C.",6514,,JAMES A QUINTON,09/09/1976,Dissolved,Domestic Stock Corporation,"P.O. BOX 279, 4521 BACHELOR POINT CRT",OXFORD,MD,21654
LAW FIRM OF THEODORE J. WURZ LLC,925292,THEODORE J. WURZ,THEODORE J. WURZ,01/17/2008,Active,Domestic Limited Liability Company,132 EAST STREET,PLAINVILLE,CT,6062
"LAW FOR FOOD, L.L.P.",1019218,,A. ADAM PRIZIO,10/27/2010,Active,Foreign Limited Liability Partnership,"512 MOUNTAIN ROAD, P.O. BOX 444",STOWE,VT,5672
"LAW-IN-ORDER, LLC",656502,,"RICHARD E. POTTER, JR.",07/13/2000,Active,Domestic Limited Liability Company,212 NORTH MAIN STREET,MARLBOROUGH,CT,6447
"LAWLER LAW, LLC",1322617,"GEORGE V. LAWLER, JR.","GEORGE V. LAWLER, JR.",09/26/2019,Active,Domestic Limited Liability Company,"75 BERLIN ROAD, SUITE 111",CROMWELL,CT,6416
"LAWLER LAW, P.C.",19235,"GEORGE V. LAWLER, JR, GEORGE V. LAWLER, JR., MELISSA  LAWLER",GEORGE V LAWLER,12/04/1975,Dissolved,Domestic Stock Corporation,"75 BERLIN ROAD, SUITE 111",CROMWELL,CT,6416
LAW LIBRARY ON CALL LLC,965755,SUSAN B. DAVIS,"NATIONAL REGISTERED AGENTS, INC.",03/17/2009,Dissolved,Domestic Limited Liability Company,47 GRIFFING POND RD.,BRANFORD,CT,6405
"LAW LIBRARY UPDATE SERVICES, INC.",162577,,"JOSE A. RIVERA, JR.",11/05/1984,Forfeited,Domestic Stock Corporation,"JOSE A. RIVERA, JR., 25 SANFORD PLACE",BRIDGEPORT,CT,6604
"LAW LIST PUBLISHING COMPANY, INC. THE",128021,,DONALD A. SCHWARTZ,03/05/1982,Revoked,Foreign Stock Corporation,"P O BOX 768, OLD RIDGEBURY RD",DANBURY,CT,6810
"LAW & LOGIC, LLC",1015321,J DOUGLAS CORNING,J DOUGLAS CORNING,09/15/2010,Active,Domestic Limited Liability Company,146 NOD WAY,AVON,CT,6001
"LAW MADE EASY PRESS, LLC",1317958,MARTIN M. SHENKMAN,MARTIN M SHENKMAN,08/08/2019,Active,Foreign Limited Liability Company,"16 HAYESTOWN RD., UNIT 2303",DANBURY,CT,6811
"LAW MANAGEMENT CORPORATION OF AMERICA, INC.",185635,"ARNOLD H. RUTKIN, CYNTHIA DASCOLA",ARNOLD H. RUTKIN,06/09/1986,Forfeited,Domestic Stock Corporation,"P.O. BOX 295, 323 RIVERSIDE AVENUE",WESTPORT,CT,6881
LAW MANAGEMENT GROUP LLC,598055,,ROBERT M. STEPHAN,07/20/1998,Active,Domestic Limited Liability Company,1177 SUMMER STREET,STAMFORD,CT,6905
"LAW MAN DAN, LLC",1291178,DANIEL THIBODEAU,DAN THIBODEAU,11/20/2018,Active,Domestic Limited Liability Company,"148 BLAKEMAN ROAD, 148 BLAKEMAN ROAD",THOMASTON,CT,6787
"LAW'N ORDER & COUNTRY THINGS, LLC",581511,"MARK E. MAYNARD, NANCY J MAYNARD",TIM WENTWORTH,01/22/1998,Dissolved,Domestic Limited Liability Company,672 ROUTE 32,FRANKLIN,CT,6254
"LAW OFFFICES OF CHRISTOPHER J. MOLYNEAUX, LLC",1236568,CHRISTOPHER MOLYNEAUX,KELLY MAAR,04/24/2017,Dissolved,Domestic Limited Liability Company,100B DANBURY RD STE 105F,RIDGEFIELD,CT,6877
"LAW OFFICE, ATTORNEY LISA J. MAROTTA, LLC",1148810,LISA J. MAROTTA,"LISA J. MAROTTA, ESQ.",07/15/2014,Active,Domestic Limited Liability Company,5-7 GLASTONBURY AVE,ROCKY HILL,CT,6067
"LAW OFFICE AUTOMATION SYSTEMS OF CONNECTICUT, INC.",146133,,ROBERT J. NICHOLS ESQ,08/11/1983,Forfeited,Domestic Stock Corporation,135 WEST MAIN ST,WATERBURY,CT,6702
"LAW OFFICE INFORMATION SYSTEMS, INC.",596459,"BOB AMMERMAN, DOUGLAS W. PARKER, D. RANDY LANEY, KYLE D. PARKER, MARK BEYLAND",SECRETARY OF THE STATE,06/26/1998,Withdrawn,Foreign Stock Corporation,105 NORTH 28TH STREET,VAN BUREN,AR,72956
LAW OFFICE JOHN J. CARANGELO LLC,1099019,JOHN J. CARANGELO,"JOHN CARANGELO, ESQ.",03/06/2013,Active,Domestic Limited Liability Company,501 BOSTON POST ROAD UNIT 23,ORANGE,CT,6477
"LAW OFFICE MANAGEMENT, INC.",257696,,DONNA M. LADINIG,02/22/1991,Forfeited,Domestic Stock Corporation,"SUITE #503, 152 TEMPLE ST",NEW HAVEN,CT,6510
"LAW OFFICE MANAGEMENT, INC.",121610,,WALTER A MCGUINNESS,08/19/1981,Dissolved,Domestic Stock Corporation,"WALTER A MCGUINNESS, 357 THREE MILE RD",GLASTONBURY,CT,6033
"LAW OFFICE MANAGEMENT, LLC",1015445,SETH KATZ,SETH KATZ,09/16/2010,Active,Domestic Limited Liability Company,400 POST ROAD,FAIRFIELD,CT,6824
"LAW OFFICE OF AARON CHARNEY, LLC",1162281,AARON CHARNEY,AARON CHARNEY,11/28/2014,Active,Domestic Limited Liability Company,354 CAMPBELL AVE,WEST HAVEN,CT,6516
"LAW OFFICE OF AARON W. SARRA, LLC",861585,AARON W. SARRA,AARON W. SARRA,05/31/2006,Active,Domestic Limited Liability Company,146 NEW BRITAIN AVE 2ND FL,PLAINVILLE,CT,6062
LAW OFFICE OF ABRAHAM V. KAZANJIAN,617509,ABRAHAM V. KAZONJION,ABRAHAM V. KAZANJIAN,03/30/1999,Dissolved,Domestic Limited Liability Company,"POST OFFICE BOX 84, 19 GROVE STREET",EAST BERLIN,CT,6023
"LAW OFFICE OF ADAM D. SCHLEIN, LLC",852981,ADAM D. SCHLEIN,ADAM D. SCHLEIN,03/15/2006,Dissolved,Domestic Limited Liability Company,1129 ESSEX PLACE,STRATFORD,CT,6615
"LAW OFFICE OF ADELE R. JACOBS, LLC",1142869,ADELE R JACOBS,ADELE R JACOBS,05/19/2014,Active,Domestic Limited Liability Company,1087 BROAD ST,BRIDGEPORT,CT,6604
"LAW OFFICE OF AIDA N. ARUS, LLC",976723,AIDA N. ARUS,"NATIONAL REGISTERED AGENTS, INC.",07/08/2009,Active,Domestic Limited Liability Company,"AIDA N. ARUS, 255 MAIN ST STE #402",WEST HARFORD,CT,6106
"LAW OFFICE OF ALAN P. LINK, LLC",1132360,ALAN P. LINK,ALAN P. LINK,02/19/2014,Active,Domestic Limited Liability Company,"320 POST ROAD, SUITE 150",DARIEN,CT,6820
"LAW OFFICE OF ALBERT T. STRAZZA, LLC",1129299,ALBERT T. STRAZZA,ALBERT T. STRAZZA,12/23/2013,Active,Domestic Limited Liability Company,"883 BLACKROCK TURNPIKE, FIRST FLOOR",FAIRFIELD,CT,6825
"LAW OFFICE OF ALBERT UNGER, LLC",820800,ALBERT UNGER,ALBERT UNGER,05/06/2005,Active,Domestic Limited Liability Company,"6 LANDMARK SQUARE, #458",STAMFORD,CT,6901
"LAW OFFICE OF ALEXANDER APONTE, LLC",697641,ALEXANDER APONTE,DAHIANA SILVERIO,11/30/2001,Active,Domestic Limited Liability Company,"750 MAIN STREET, SUIT 902, SUIT 902",HARTFORD,CT,6103
LAW OFFICE OF ALICIA R. KINSMAN PLLC,1328898,ALICIA R. KINSMAN,ALICIA R. KINSMAN,11/29/2019,Active,Domestic Limited Liability Company,753 FAIRFIELD AVE,BRIDGEPORT,CT,6604
"LAW OFFICE OF ALINOR C. STERLING, LLC",983866,ALINOR C. STERLING,ALINOR C. STERLING,09/25/2009,Dissolved,Domestic Limited Liability Company,256 CLARK AVENUE,BRANFORD,CT,6405
"LAW OFFICE OF ALISA HOOVER, LLC",1015360,ALISA F. HOOVER,ALISA F. HOOVER,09/15/2010,Active,Domestic Limited Liability Company,116 TANTON HILL ROAD,RIDGEFIELD,CT,6877
"LAW OFFICE OF ALISSA J. STOCKAGE, LLC",1061472,ALISSA STOCKAGE,ALISSA JOANNE STOCKAGE,02/09/2012,Dissolved,Domestic Limited Liability Company,27 OAK HILL AVE,NORWALK,CT,6854
LAW OFFICE OF ALLISON MASON LLC,1097949,ALLISON MASON,ALLISON MASON,02/15/2013,Dissolved,Domestic Limited Liability Company,33 WYNWOOD ROAD,WEST HARTFORD,CT,6107
"LAW OFFICE OF A. MANUEL NIEVES, LLC",1148097,A. MANUEL NIEVES,A. MANUEL NIEVES,07/01/2014,Dissolved,Domestic Limited Liability Company,"363 MAIN ST, 3RD FLOOR",HARTFORD,CT,6106
"LAW OFFICE OF AMEE J. LUNN, L.L.C.",943099,AMEE J. LUNN,AMEE J. LUNN,07/01/2008,Active,Domestic Limited Liability Company,26 BROADWAY,NEW HAVEN,CT,6473
"LAW OFFICE OF ANDREA L. TRUPPA, LLC",1214615,ANDREA L. TRUPPA,ANDREA L. TRUPPA,08/17/2016,Active,Domestic Limited Liability Company,24 STEARNS STREET,DANIELSON,CT,6239
LAW OFFICE OF ANDREA M MELANSON LLC,1258057,ANDREA MELANSON,ANDREA M MELANSON,12/14/2017,Active,Domestic Limited Liability Company,"3 GRIST MILL ROAD, SUITE 2A",SIMSBURY,CT,6070
"LAW OFFICE OF ANDREA P. STANKEY, LLC",768422,ANDREA P. STANKEY,ANDREA P. STANKEY,12/16/2003,Dissolved,Domestic Limited Liability Company,1802 LARSON DRIVE,DANBURY,CT,6810
LAW OFFICE OF ANDRE N. MOTOLANEZ LLC,940243,ANDREAS MOTOLANEZ,DIANNA GALUSTIAN,06/05/2008,Active,Domestic Limited Liability Company,263 MAIN STREET,OLD SAYBROOK,CT,6475
"LAW OFFICE OF ANDREW E. WALLACE, LLC",1190905,ANDREW E. WALLACE,ANDREW E. WALLACE,11/18/2015,Dissolved,Domestic Limited Liability Company,"1077 BRIDGEPORT AVE., STE. 100",SHELTON,CT,6484
"LAW OFFICE OF ANDREW J. PIANKA, LLC",947197,ANDREW J. PIANKA,ANDREW J. PIANKA,08/18/2008,Active,Domestic Limited Liability Company,"100 BANK STREET, SUITE 206A",SEYMOUR,CT,6483
"LAW OFFICE OF ANDREW P. DWYER II, LLC",973222,ANDREW P. DWYER II,ANDREW P. DWYER II,05/29/2009,Active,Domestic Limited Liability Company,130 NORTH MAIN STREET,WALLINGFORD,CT,6492
"LAW OFFICE OF ANDREW W. EWALT, LLC",640363,ANDREW W. EWALT ESQ.,"ANDREW W. EWALT, ESQ.",01/11/2000,Dissolved,Domestic Limited Liability Company,1244 STORRS ROAD,STORRS,CT,6268
"LAW OFFICE OF ANNE I. TREIMANIS, LLC",744028,ATTORNEY ANNE I. TREIMANIS,ANNE I. EASON,03/25/2003,Active,Domestic Limited Liability Company,"161 EAST AVENUE, STE 104",NORWALK,CT,6851
"LAW OFFICE OF ANNE LINTON MASTERSON, LLC",808804,ANNE L. MASTERSON,ANNE L. MASTERSON,01/21/2005,Active,Domestic Limited Liability Company,"12 CASE STREET, SUITE 208",NORWICH,CT,6360
"LAW OFFICE OF ANN E. ROSE, LLC",893123,ANN E. ROSE,"ANN E. ROSE, ESQ.",03/27/2007,Active,Domestic Limited Liability Company,6 NELSON LANE,NEWTOWN,CT,6470
LAW OFFICE OF ANNETTE V. WILLIS P.L.L.C.,1250052,ANNETTE V. WILLIS,ANNETTE WILLIS,09/18/2017,Active,Domestic Limited Liability Company,"6 WAY ROAD, SUITE 202",MIDDLEFIELD,CT,6455
LAW OFFICE OF ANN MOORE LLC,796062,ANN M. MOORE,ANN M. MOORE,09/09/2004,Dissolved,Domestic Limited Liability Company,18 PARKLAND PLACE,MILFORD,CT,6460
"LAW OFFICE OF ANTHONY CROSBY, LLC",735324,ANTHONY CROSBY,ANTHONY CROSBY,12/27/2002,Dissolved,Domestic Limited Liability Company,25 PRELI COURT,SOUTHINGTON,CT,6489
"LAW OFFICE OF ANTHONY J. INTERLANDI, LLC",1031662,ANTHONY J. INTERLANDI,ANTHONY J. INTERLANDI,03/15/2011,Active,Domestic Limited Liability Company,"1224 MILL STREET, BUILDING B",EAST BERLIN,CT,6023
"LAW OFFICE OF ANTHONY J. MONTEROSSO, P.C.",125878,"ANTHONY J. MONTEROSSO, MARGARITE A MONTEROSSO",JOHN D. BLACKFORD ESQ,12/31/1981,Dissolved,Domestic Stock Corporation,3 NORFOLK GARDENS,FARMINGTON,CT,6032
"LAW OFFICE OF ANTHONY J. PALERMINO, LLC",615340,ANTHONY PALERMINO,ANTHONY J PALERMINO,03/05/1999,Active,Domestic Limited Liability Company,168 CENTERWOOD ROAD,NEWINGTON,CT,6111
"LAW OFFICE OF APRIL C. TEVERIS, LLC",874362,APRIL C. TEVERIS,APRIL C. TEVERIS,09/27/2006,Active,Domestic Limited Liability Company,229 SLATER RD,TOLLAND,CT,6084
LAW OFFICE OF ARTILA LUBONJA LLC,1236304,ARTILA LUBONJA,ARTILA LUBONJA,04/19/2017,Active,Domestic Limited Liability Company,67 METACOMET DR,MERIDEN,CT,6450
"LAW OFFICE OF ATTORNEY LAL PATEL, LLC",947673,LALJEEBHAI R. PATEL,LALJEEBHAI R. PATEL,08/22/2008,Dissolved,Domestic Limited Liability Company,100 LAWLER ROAD,WEST HARTFORD,CT,6117
LAW OFFICE OF ATTORNEY LISA G CAWLEY LLC,1265117,LISA CAWLEY,LISA G CAWLEY,02/27/2018,Active,Domestic Limited Liability Company,"306 CHESTNUT HILL RD, 306 CHESTNUT HILL RD",WILTON,CT,6897
"LAW OFFICE OF ATTORNEY ROBERT J. DELEON, JR., LLC",819912,"ROBERT J. DELEON, JR.",ATTORNEY GREGORY G. ST. JOHN,04/27/2005,Active,Domestic Limited Liability Company,21 STATE STREET,WATERBURY,CT,6702
"LAW OFFICE OF ATTORNEY S.S. HUSSAIN, LLC",714428,SYED SAJID HUSSAIN,SYED SAJID HUSSAIN,05/10/2002,Dissolved,Domestic Limited Liability Company,476 WICKHAM RD,GLASTONBURY,CT,6033
"LAW OFFICE OF AUSTIN B. JOHNS, LLC",1212714,AUSTIN BERESCIK-JOHNS,AUSTIN BERESCIK-JOHNS,07/27/2016,Active,Domestic Limited Liability Company,36 RUSS STREET,HARTFORD,CT,6106
"LAW OFFICE OF BARBARA BLACKWELL, LLC",1271830,BARBARA W. BLACKWELL,BARBARA W. BLACKWELL,04/30/2018,Active,Domestic Limited Liability Company,53 BENSON STREET,MILFORD,CT,6460
"LAW OFFICE OF BARBARA G. HAGER, LLC",958570,BARBARA G. HAGER,"BARBARA G. HAGER, ESQ",12/31/2008,Active,Domestic Limited Liability Company,783 GARFIELD AVE.,BRIDGEPORT,CT,6606
"LAW OFFICE OF BARBARA STARK, LLC",913887,BARBARA STARK,BARBARA STARK,09/27/2007,Dissolved,Domestic Limited Liability Company,222 RIVERSIDE AVENUE,WESTPORT,CT,6880
"LAW OFFICE OF BARRY F ARMATA, LLC",930035,BARRY F. ARMATA,BARRY F. ARMATA,02/29/2008,Dissolved,Domestic Limited Liability Company,747 STAFFORD AVENUE,BRISTOL,CT,6010
"LAW OFFICE OF BARRY J. SINOWAY, LLC",1059846,BARRY J. SINOWAY,BARRY J. SINOWAY,01/20/2012,Active,Domestic Limited Liability Company,555 LONG WHARF DR.,NEW HAVEN,CT,6511
"LAW OFFICE OF BARRY P. BELETSKY, LLC",1339926,BARRY P. BELETSKY,BARRY P. BELETSKY,03/16/2020,Active,Domestic Limited Liability Company,"500 EAST MAIN STREET, SUITE 324",BRANFORD,CT,6405
"LAW OFFICE OF BECKI A. JACOBSON, LLC",1066687,BECKI A. JACOBSON,BECKI ANN JACOBSON,03/28/2012,Active,Domestic Limited Liability Company,45 MAPLE LANE,CANTERBURY,CT,6331
"LAW OFFICE OF BENJAMIN MORRIS, LLC",909502,BENJAMIN MORRIS,BENJAMIN MORRIS,08/15/2007,Dissolved,Domestic Limited Liability Company,1100 RIDGE ROAD,NORTH HAVEN,CT,6473
"LAW OFFICE OF BERNADETTE ANTAKI MICHAUD, L.L.C.",1039038,BERNADETTE A. MICHAUD,PAUL R. MICHAUD,05/26/2011,Dissolved,Domestic Limited Liability Company,46 EASTHAM BRIDGE ROAD,EAST HAMPTON,CT,6424
"LAW OFFICE OF BERNARD CHRISTIANSON, LLC",1042327,BERNARD CHRISTIANSON,BERNARD CHRISTIANSON,07/01/2011,Active,Domestic Limited Liability Company,1164 TOWNSEND AVENUE,NEW HAVEN,CT,6512
"LAW OFFICE OF BEVERLEY ROGERS, LLC",723261,BEVERLEY ROGERS,BEVERLEY ROGERS,08/15/2002,Active,Domestic Limited Liability Company,"470 MAIN ST, SUITE 317",RIDGEFIELD,CT,6877
LAW OFFICE OF BILLY FLYNN GADBOIS LLC,1317395,WILLIAM GADBOIS,WILLIAM GADBOIS,08/05/2019,Active,Domestic Limited Liability Company,74 FORTIN DRIVE,BROOKLYN,CT,6234
"LAW OFFICE OF BONNIE C. MANGAN, P.C. THE",284184,"BONNIE C. MANGAN, ROBERT MATFESS",BONNIE C MANGAN ESQ.,03/08/1993,Active,Domestic Stock Corporation,"1050 SULLIVAN AVENUE, A3, A3",SOUTH WINDSOR,CT,6074
"LAW OFFICE OF BONNIE LEE MACDONALD, LLC",802050,BONNIE LEE MACDONALD,BONNIE LEE MACDONALD,11/15/2004,Active,Domestic Limited Liability Company,71A RIVERSIDE AVENUE,NORWALK,CT,6850
"LAW OFFICE OF BRIAN E. LAMBECK, L.L.C.",722494,BRIAN E. LAMBECK,BRIAN E. LAMBECK,08/06/2002,Active,Domestic Limited Liability Company,515 NEWTOWN TPKE.,WESTON,CT,6883
"LAW OFFICE OF BRIAN R. PEAR, LLC",739502,BRIAN R. PEAR,BRIAN R. PEAR,02/10/2003,Dissolved,Domestic Limited Liability Company,"15 MAIN STREET, P.O. BOX 129",EAST HADDAM,CT,6423
"LAW OFFICE OF BRIAN ZACCAGNINO, LLC",684232,BRIAN ZACCAGNINO,BRIAN ZACCAGNINO,06/19/2001,Active,Domestic Limited Liability Company,133 MAIN ST,SOUTHINGTON,CT,6489
"LAW OFFICE OF BRITTANY B. PAZ, LLC",1263168,BRITTANY B. PAZ,BRITTANY B. PAZ,02/07/2018,Active,Domestic Limited Liability Company,"115 TECHNOLOGY DRIVE, SUITE A 303",TRUMBULL,CT,6611
"LAW OFFICE OF BROOKE CAVALIERO, LLC",834119,BROOKE CAVALIERO,"LOUIS GALASSO, JR.",09/16/2005,Active,Domestic Limited Liability Company,22 HILLVIEW LANE,STAMFORD,CT,6905
"LAW OFFICE OF BRUCE HILL, LLC",826935,BRUCE HILL,BRUCE HILL,07/05/2005,Active,Domestic Limited Liability Company,30 OLD KINGS HIGHWAY SOUTH,DARIEN,CT,6820
"LAW OFFICE OF BRUCE MATZKIN, LLC",827911,BRUCE MATZKIN,ATTORNEY BRUCE MATZKIN,07/18/2005,Dissolved,Domestic Limited Liability Company,"1052 MAIN STREET, SUITE 14",BRANFORD,CT,6405
"LAW OFFICE OF BRUCE W. DIAMOND, LLC",788319,BRUCE W. DIAMOND,BRUCE W. DIAMOND,06/22/2004,Active,Domestic Limited Liability Company,"365 HIGHLAND AVE, STE 102",CHESHIRE,CT,6410
"LAW OFFICE OF BRUNO R. MORASUTTI, LLC",1032068,BRUNO R. MORASUTTI,BRUNO R. MORASUTTI,03/16/2011,Active,Domestic Limited Liability Company,"405 BROAD STREET, 405 BROAD ST, 405 BROAD ST",MERIDEN,CT,6450
LAW OFFICE OF BRYNNA L. GRAVLIN LLC,1182195,BRYNNA LEIGH GRAVLIN,BRYNNA LEIGH GRAVLIN,07/29/2015,Dissolved,Domestic Limited Liability Company,P.O.BOX 407,NIANTIC,CT,6357
LAW OFFICE OF CANDACE BATH LLC,854737,CANDACE BATH,LINDA J STURM,03/30/2006,Active,Domestic Limited Liability Company,26 ATLANTIC ST.,NIANTIC,CT,6357
LAW OFFICE OF CAROLYN FUTTNER LLC,980430,CAROLYN FUTTNER,CAROLYN M. FUTTNER,08/18/2009,Active,Domestic Limited Liability Company,45 JOHN STREET,SOUTHINGTON,CT,6489
"LAW OFFICE OF CARREIRA AND WOJCIECHOWSKI, LLC",1132808,"RANDALL J. CARREIRA, ROBERT WOJCIECHOWSKI",RANDALL J. CARREIRA,02/03/2014,Active,Domestic Limited Liability Company,19 NEW PRESTON HILL ROAD,NEW PRESTON,CT,6777
LAW OFFICE OF CATHERINE P. WHELAN LLC,1229727,CATHERINE P. WHELAN,CATHERINE P. WHELAN,01/27/2017,Active,Domestic Limited Liability Company,530 OLD POST ROAD NO. 3,GREENWICH,CT,6830
"LAW OFFICE OF CATHRYN-JEAN FLEMING, LLC",921697,CATHRYN-JEAN FLEMING,RALPH PHILLIPS,12/12/2007,Active,Domestic Limited Liability Company,174 MERROW RD,TOLLAND,CT,6084
"LAW OFFICE OF CECILIA BUCK-TAYLOR, P.C.",303124,"CECILIA BUCK TAYLOR, WILLIAM DEAN TAYLOR",CECILIA BUCK-TAYLOR,09/23/1994,Active,Domestic Stock Corporation,"15 BENNITT STREET, P.O. BOX 1121",NEW MILFORD,CT,6776
LAW OFFICE OF CHARLES E. OMAN III LIMITED LIABILITY COMPANY,535844,CHARLES EMIL OMAN III,CHARLES E. OMAN III,05/06/1996,Active,Domestic Limited Liability Company,"100 GRAND STREET, SUITE 2 A",WATERBURY,CT,6702
"LAW OFFICE OF CHARLES M. FRESHER, LLC",668608,CHARLES M. FRESHER,"CHARLES M. FRESHER, ESQ.",12/15/2000,Active,Domestic Limited Liability Company,324 KINGS HIGHWAY,NORTH HAVEN,CT,6473
"LAW OFFICE OF CHARLES WILLIAMS, LLC",1200670,CHARLES WILLIAMS,CHARLES WILLIAMS,03/08/2016,Active,Domestic Limited Liability Company,"900 MIX AVENUE, UNIT 14",HAMDEN,CT,6514
"LAW OFFICE OF CHERYL GABES RICE, LLC",1119888,CHERYL GABES RICE,CHERYL GABES RICE,09/23/2013,Active,Domestic Limited Liability Company,36 WESTCLIFF DRIVE,WEST HARTFORD,CT,6117
